"","CollecName","CollecInits","IDNo.","County","State","Date.d.m.y.","Genus","Epithet","Abbrev.","Sex","TotalL","TailL","FootL","EarL","Mass","Skin.","Skull.","Other.info","Skull.Skin.or.Skull.Tag.Together","Catalogue..","year"
"161","S.C.Palmer","SCP",1,"Chittenden","VT",1997-03-08,"Peromyscus","leucopus","PELE","M",170,88,19,11,"","X","X","UVM lab colony","",NA,1997
"162","S.C.Palmer","SCP",2,"Chittenden","VT",1997-04-17,"Peromyscus","leucopus","PELE","M",178,79,22,18,"","X","X","UVM lab colony","",NA,1997
"163","S.C.Palmer","SCP",3,"Chittenden","VT",1997-04-22,"Peromyscus","leucopus","PELE","M",178,79,21,17,"","X","X","UVM lab colony","",NA,1997
"164","S.E.Waldron","SEW",1,"Chittenden","VT",1997-02-13,"Peromyscus","leucopus","PELE","M",176,85,20,17,"","X","X","uvm lab colony ","",NA,1997
"165","S.E.Waldron","SEW",4,"Chittenden","VT",1997-04-18,"Peromyscus","leucopus","PELE","M",183,94,20,19,"","X","X","uvm lab colony ","",NA,1997
"166","S.I.Mills","SIM",1,"","",1980-06-20,"Peromyscus","maniculatus","PEMA","M",152,73,20,18,"","","X","UVM lab colony; teaching collection","",NA,1980
"167","S.I.Mills","SIM",2,"","",1980-06-27,"Peromyscus","maniculatus","PEMA","M",151,70,22,17,"","","X","UVM lab colony; teaching collection","",NA,1980
"168","S.I.Mills","SIM",3,"","",1980-07-01,"Peromyscus","maniculatus","PEMA","M",170,79,23,19,"","","X","UVM lab colony; teaching collection","",NA,1980
"169","S.S.Madden","SSM",1,"","",1993-06-18,"Peromyscus","leucopus","PELE","F",158,73,19,14,"","X","X","UVM lab colony 14-11","",NA,1993
"170","T.A.Benoit","TAB",2,"","",1994-12-01,"Peromyscus","leucopus","PELE","M",160,76,20,18,"","X","X","UVM lab colony 286","",NA,1994
"171","T.A.Benoit","TAB",3,"","",1994-12-01,"Peromyscus","leucopus","PELE","M",158,82,18,15,"","X","X","UVM lab colony 434","",NA,1994
"172","T.M.Burke","TMB",1,"Chittenden","VT",1997-03-06,"Peromyscus","leucopus","PELE","M",161,74,20,16,"","X","X","UVM lab colony","",NA,1997
"173","T.M.Burke","TMB",2,"Chittenden","VT",1997-04-22,"Peromyscus","leucopus","PELE","F",173,80,22,16,"","X","X","UVM lab colony","",NA,1997
"174","T.M.Burke","TMB",3,"Chittenden","VT",1997-04-23,"Peromyscus","leucopus","PELE","M",162,81,21,17,"","X","X","UVM lab colony","",NA,1997
"175","T.M.Burke","TMB",4,"Chittenden","VT",1997-04-25,"Peromyscus","leucopus","PELE","M",170,85,20,16,"","X","X","UVM lab colony","",NA,1997
"176","T.M.Burke","TMB",5,"Chittenden","VT",1997-04-26,"Peromyscus","leucopus","PELE","M",191,91,20,17,"","X","X","UVM lab colony","",NA,1997
"177","T.P.Miller","TPM",3,"","",1994-05-04,"Peromyscus","leucopus","PELE","M",173,78,21,19,"","X","X","UVM lab colony 108","",NA,1994
"178","W.E.Trotman","WET",1,"Chittenden","VT",1997-03-11,"Peromyscus","leucopus","PELE","M",171,76,21,18,"","X","X","uvm lab colony ","",NA,1997
"179","W.E.Trotman","WET",2,"Chittenden","VT",1997-04-28,"Peromyscus","leucopus","PELE","M",206,108,23,21,"","X","X","uvm lab colony ","",NA,1997
"180","W.E.Trotman","WET",3,"Chittenden","VT",1997-04-29,"Peromyscus","leucopus","PELE","F",168,79,20,16,"","X","X","uvm lab colony ","",NA,1997
"181","W.E.Trotman","WET",4,"Chittenden","VT",1997-04-30,"Peromyscus","leucopus","PELE","M",151,74,21,17,"","X","X","uvm lab colony ","",NA,1997
"182","W.F.Hanvey","WFH",1,"","",1980-06-19,"Peromyscus","maniculatus","PEMA","F",152,66,21,16,"","","X","UVM lab colony; teaching collection","",NA,1980
